datetime,open,high,low,close
1998-8-4 10:00:00,40000,40000,40000,40000
1998-8-4 10:01:00,40000,40001,39968,39969
1998-8-4 10:02:00,39969,39970,39940,39941
1998-8-4 10:03:00,39941,39942,39932,39933
1998-8-4 10:04:00,39933,39972,39932,39971
1998-8-4 10:05:00,39971,39987,39970,39986
1998-8-4 10:06:00,39986,40005,39985,40004
1998-8-4 10:07:00,40004,40053,40003,40052
1998-8-4 10:08:00,40052,40086,40051,40085
1998-8-4 10:09:00,40085,40126,40084,40125
1998-8-4 10:10:00,40125,40169,40124,40168
1998-8-4 10:11:00,40168,40177,40167,40176
1998-8-4 10:12:00,40176,40185,40175,40184
1998-8-4 10:13:00,40184,40224,40183,40223
1998-8-4 10:14:00,40223,40273,40222,40272
1998-8-4 10:15:00,40272,40290,40271,40289
1998-8-4 10:16:00,40289,40290,40252,40253
1998-8-4 10:17:00,40253,40284,40252,40283
1998-8-4 10:18:00,40283,40324,40282,40323
1998-8-4 10:19:00,40323,40324,40286,40287
1998-8-4 10:20:00,40287,40331,40286,40330
1998-8-4 10:21:00,40330,40331,40324,40325
1998-8-4 10:22:00,40325,40326,40318,40319
1998-8-4 10:23:00,40319,40320,40306,40307
1998-8-4 10:24:00,40307,40308,40269,40270
1998-8-4 10:25:00,40270,40284,40269,40283
1998-8-4 10:26:00,40283,40307,40282,40306
1998-8-4 10:27:00,40306,40346,40305,40345
1998-8-4 10:28:00,40345,40387,40344,40386
1998-8-4 10:29:00,40386,40437,40385,40436
1998-8-4 10:30:00,40436,40447,40435,40446
1998-8-4 10:31:00,40446,40479,40445,40478
1998-8-4 10:32:00,40478,40479,40455,40456
1998-8-4 10:33:00,40456,40465,40455,40464
1998-8-4 10:34:00,40464,40488,40463,40487
1998-8-4 10:35:00,40487,40488,40475,40476
1998-8-4 10:36:00,40476,40488,40475,40487
1998-8-4 10:37:00,40487,40488,40448,40449
1998-8-4 10:38:00,40449,40450,40422,40423
1998-8-4 10:39:00,40423,40440,40422,40439
1998-8-4 10:40:00,40439,40440,40409,40410
1998-8-4 10:41:00,40410,40411,40394,40395
1998-8-4 10:42:00,40395,40396,40394,40395
1998-8-4 10:43:00,40395,40416,40394,40415
1998-8-4 10:44:00,40415,40416,40410,40411
1998-8-4 10:45:00,40411,40412,40371,40372
1998-8-4 10:46:00,40372,40373,40356,40357
1998-8-4 10:47:00,40357,40387,40356,40386
1998-8-4 10:48:00,40386,40387,40382,40383
1998-8-4 10:49:00,40383,40402,40382,40401
1998-8-4 10:50:00,40401,40438,40400,40437
1998-8-4 10:51:00,40437,40445,40436,40444
1998-8-4 10:52:00,40444,40445,40404,40405
1998-8-4 10:53:00,40405,40406,40376,40377
1998-8-4 10:54:00,40377,40378,40374,40375
1998-8-4 10:55:00,40375,40393,40374,40392
1998-8-4 10:56:00,40392,40393,40367,40368
1998-8-4 10:57:00,40368,40369,40352,40353
1998-8-4 10:58:00,40353,40393,40352,40392
1998-8-4 10:59:00,40392,40393,40382,40383
1998-8-4 11:00:00,40383,40384,40379,40380
1998-8-4 11:01:00,40380,40381,40377,40378
1998-8-4 11:02:00,40378,40380,40377,40379
